True,Transformer/encoderblock_9
True,Transformer/encoderblock_10
True,Transformer/encoderblock_11
True,Transformer/encoder_norm
True,ExtractToken
id_test,0
model,<keras.src.engine.sequential.Sequential object at 0x73676157fe20>
trainable,name
True,input_1
True,embedding
True,reshape
True,class_token
True,Transformer/posembed_input
True,Transformer/encoderblock_0
True,Transformer/encoderblock_1
True,Transformer/encoderblock_2
True,Transformer/encoderblock_3
True,Transformer/encoderblock_4
True,Transformer/encoderblock_5
True,Transformer/encoderblock_6
True,Transformer/encoderblock_7
True,Transformer/encoderblock_8
True,Transformer/encoderblock_9
True,Transformer/encoderblock_10
True,Transformer/encoderblock_11
True,Transformer/encoder_norm
True,ExtractToken
id_test,0
model,<keras.src.engine.sequential.Sequential object at 0x727bd2b67220>
trainable,name
True,input_1
True,embedding
True,reshape
True,class_token
True,Transformer/posembed_input
True,Transformer/encoderblock_0
True,Transformer/encoderblock_1
True,Transformer/encoderblock_2
True,Transformer/encoderblock_3
True,Transformer/encoderblock_4
True,Transformer/encoderblock_5
True,Transformer/encoderblock_6
True,Transformer/encoderblock_7
True,Transformer/encoderblock_8
True,Transformer/encoderblock_9
True,Transformer/encoderblock_10
True,Transformer/encoderblock_11
True,Transformer/encoder_norm
True,ExtractToken
id_test,0
model,<keras.src.engine.sequential.Sequential object at 0x72780c6a7460>
trainable,name
True,input_1
True,embedding
True,reshape
True,class_token
True,Transformer/posembed_input
True,Transformer/encoderblock_0
True,Transformer/encoderblock_1
True,Transformer/encoderblock_2
True,Transformer/encoderblock_3
True,Transformer/encoderblock_4
True,Transformer/encoderblock_5
True,Transformer/encoderblock_6
True,Transformer/encoderblock_7
True,Transformer/encoderblock_8
True,Transformer/encoderblock_9
True,Transformer/encoderblock_10
True,Transformer/encoderblock_11
True,Transformer/encoder_norm
True,ExtractToken
id_test,0
model,<keras.src.engine.sequential.Sequential object at 0x7d3be5f49300>
trainable,name
True,input_1
True,embedding
True,reshape
True,class_token
True,Transformer/posembed_input
True,Transformer/encoderblock_0
True,Transformer/encoderblock_1
True,Transformer/encoderblock_2
True,Transformer/encoderblock_3
True,Transformer/encoderblock_4
True,Transformer/encoderblock_5
True,Transformer/encoderblock_6
True,Transformer/encoderblock_7
True,Transformer/encoderblock_8
True,Transformer/encoderblock_9
True,Transformer/encoderblock_10
True,Transformer/encoderblock_11
True,Transformer/encoder_norm
True,ExtractToken
id_test,0
model,<keras.src.engine.sequential.Sequential object at 0x7d3b02cd59c0>
trainable,name
True,input_1
True,embedding
True,reshape
True,class_token
True,Transformer/posembed_input
True,Transformer/encoderblock_0
True,Transformer/encoderblock_1
True,Transformer/encoderblock_2
True,Transformer/encoderblock_3
True,Transformer/encoderblock_4
True,Transformer/encoderblock_5
True,Transformer/encoderblock_6
True,Transformer/encoderblock_7
True,Transformer/encoderblock_8
True,Transformer/encoderblock_9
True,Transformer/encoderblock_10
True,Transformer/encoderblock_11
True,Transformer/encoder_norm
True,ExtractToken
id_test,0
model,<keras.src.engine.sequential.Sequential object at 0x7d37ef5b90f0>
trainable,name
True,input_1
True,embedding
True,reshape
True,class_token
True,Transformer/posembed_input
True,Transformer/encoderblock_0
True,Transformer/encoderblock_1
True,Transformer/encoderblock_2
True,Transformer/encoderblock_3
True,Transformer/encoderblock_4
True,Transformer/encoderblock_5
True,Transformer/encoderblock_6
True,Transformer/encoderblock_7
True,Transformer/encoderblock_8
True,Transformer/encoderblock_9
True,Transformer/encoderblock_10
True,Transformer/encoderblock_11
True,Transformer/encoder_norm
True,ExtractToken
